Id,_0,_1,_2,action_what,action_where,alternative_technique,how,how_what,how_where,postcondition,precondition,tactic,technique,when,when_condition,when_object,where_attribute,why_state,why_what,why_where
t1172,1,,178,obfuscate,destination,,"using TLS, HTTP, TLS header SNI field are not equal to HTTP header",use,TLS and HTTP,,TLS header SNI field are not equal to HTTP header,command and control,domain fronting,,,,,domain fronting/hiding/disguise,hiding/disguise,destination
t1172,1,,178,hide,destination,,"using TLS, HTTP, TLS header SNI field are not equal to HTTP header",use,TLS and HTTP,,TLS header SNI field are not equal to HTTP header,command and control,domain fronting,,,,,domain fronting/hiding/disguise,hiding/disguise,destination
t1190,1,,212,take-advantage,software-weakenss,,,,,,,initial access,exploit public-facing application,,,,software/data/command/databases/sql/standard services/smb/ssh/web servers,,,
t1190,1,,212,take-advantage,bug,,,,,,,initial access,exploit public-facing application,,,,software/data/command/databases/sql/standard services/smb/ssh/web servers,,,
t1190,1,,212,take-advantage,weakness,,,,,,,initial access,exploit public-facing application,,,,software/data/command/databases/sql/standard services/smb/ssh/web servers,,,
t1190,1,,212,take-advantage,glitch,,,,,,,initial access,exploit public-facing application,,,,software/data/command/databases/sql/standard services/smb/ssh/web servers,,,
t1190,1,,212,take-advantage,vulnerability,,,,,,,initial access,exploit public-facing application,,,,software/data/command/databases/sql/standard services/smb/ssh/web servers,,,
t1190,1,,212,exploit,software-weakenss,,,,,,,initial access,exploit public-facing application,,,,software/data/command/databases/sql/standard services/smb/ssh/web servers,,,
t1190,1,,212,exploit,bug,,,,,,,initial access,exploit public-facing application,,,,software/data/command/databases/sql/standard services/smb/ssh/web servers,,,
t1190,1,,212,exploit,weakness,,,,,,,initial access,exploit public-facing application,,,,software/data/command/databases/sql/standard services/smb/ssh/web servers,,,
t1190,1,,212,exploit,glitch,,,,,,,initial access,exploit public-facing application,,,,software/data/command/databases/sql/standard services/smb/ssh/web servers,,,
t1190,1,,212,exploit,vulnerability,,,,,,,initial access,exploit public-facing application,,,,software/data/command/databases/sql/standard services/smb/ssh/web servers,,,
t1190,1,,212,abuse,software-weakenss,,,,,,,initial access,exploit public-facing application,,,,software/data/command/databases/sql/standard services/smb/ssh/web servers,,,
t1190,1,,212,abuse,bug,,,,,,,initial access,exploit public-facing application,,,,software/data/command/databases/sql/standard services/smb/ssh/web servers,,,
t1190,1,,212,abuse,weakness,,,,,,,initial access,exploit public-facing application,,,,software/data/command/databases/sql/standard services/smb/ssh/web servers,,,
t1190,1,,212,abuse,glitch,,,,,,,initial access,exploit public-facing application,,,,software/data/command/databases/sql/standard services/smb/ssh/web servers,,,
t1190,1,,212,abuse,vulnerability,,,,,,,initial access,exploit public-facing application,,,,software/data/command/databases/sql/standard services/smb/ssh/web servers,,,
t1152,1,,327,use,code,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,use,agent,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,use,deamon,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,use,launchctl,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,install,code,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,install,agent,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,install,deamon,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,install,launchctl,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,load,code,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,load,agent,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,load,deamon,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,load,launchctl,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,reload,code,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,reload,agent,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,reload,deamon,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,reload,launchctl,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,execute,code,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,execute,agent,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,execute,deamon,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,execute,launchctl,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,launch,code,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,launch,agent,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,launch,deamon,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,launch,launchctl,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,use,code,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,use,agent,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,use,deamon,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
